order_id,customer_id,order_date,shipping_date,order_status,shipping_city,shipping_state
66,1751,2026-05-20,2026-05-27,Delivered,Guntakal,West Bengal
67,1453,2025-12-06,2025-12-07,Delivered,Jaipur,Tamil Nadu
68,2028,2025-11-15,2025-11-22,Delivered,Gaya,Rajasthan
69,3664,2025-12-09,2025-12-10,Cancelled,Gurgaon,Karnataka
70,2433,2025-12-30,2026-01-06,Cancelled,Tezpur,Tamil Nadu
71,3349,2026-01-26,2026-02-02,Processing,Bihar Sharif,Gujarat
72,3453,2025-06-24,2025-07-01,Delivered,Saharsa,Rajasthan
73,1182,2026-01-03,2026-01-06,Shipped,Kanpur,Maharashtra
74,1142,2025-07-08,2025-07-15,Processing,Nashik,Maharashtra
75,359,2025-07-16,2025-07-18,Delivered,Bidar,Maharashtra
76,361,2025-09-10,2025-09-15,Delivered,Muzaffarpur,Kerala
77,1625,2025-09-04,2025-09-09,Delivered,Serampore,Maharashtra
78,241,2025-08-28,2025-08-31,Shipped,Gwalior,Andhra Pradesh
79,976,2025-07-24,2025-07-29,Delivered,Asansol,Maharashtra
80,1306,2025-08-28,2025-08-30,Delivered,Tiruchirappalli,Rajasthan
81,2650,2026-09-07,2026-09-14,Delivered,Gurgaon,Maharashtra
82,1750,2026-02-15,2026-02-21,Shipped,Dewas,Tamil Nadu
83,291,2025-12-18,2025-12-25,Delivered,Kolhapur,Kerala
84,3860,2025-06-22,2025-06-27,Delivered,Jaipur,West Bengal
85,8,2025-10-20,2025-10-24,Delivered,Jammu,Tamil Nadu
86,4429,2025-09-24,2025-09-26,Delivered,Tadepalligudem,Gujarat
87,1040,2026-01-07,2026-01-14,Shipped,Pudukkottai,Delhi
88,4019,2026-07-09,2026-07-14,Delivered,Sagar,Gujarat
89,1825,2025-04-15,2025-04-18,Cancelled,Jaunpur,Kerala
90,261,2026-05-12,2026-05-19,Delivered,Bokaro,Rajasthan
91,1489,2025-05-26,2025-05-28,Delivered,Katihar,Maharashtra
92,2775,2025-04-25,2025-04-28,Shipped,New Delhi,Telangana
93,2229,2026-04-18,2026-04-23,Processing,Chandrapur,Karnataka
94,3291,2025-01-31,2025-02-02,Cancelled,Barasat,Karnataka
95,259,2025-10-20,2025-10-21,Delivered,Patna,Delhi
96,596,2025-04-18,2025-04-24,Shipped,Malda,Andhra Pradesh
97,3865,2026-03-23,2026-03-30,Delivered,Aizawl,Rajasthan
98,3854,2024-12-12,2024-12-18,Processing,Tiruvottiyur,Tamil Nadu
99,4522,2025-03-28,2025-04-03,Delivered,Ghaziabad,Tamil Nadu
100,2127,2024-12-10,2024-12-16,Delivered,Deoghar,Gujarat
101,3961,2025-06-07,2025-06-09,Processing,Berhampore,Telangana
102,1074,2025-04-24,2025-04-28,Cancelled,Yamunanagar,Maharashtra
103,162,2025-01-31,2025-02-07,Cancelled,Phusro,Telangana
104,4654,2026-06-08,2026-06-10,Shipped,Kanpur,Telangana
105,830,2025-01-21,2025-01-26,Cancelled,Dehradun,Rajasthan
106,3512,2025-07-01,2025-07-02,Delivered,Ghaziabad,Delhi
107,2486,2025-03-22,2025-03-28,Delivered,Korba,Telangana
108,1226,2026-02-10,2026-02-13,Cancelled,Udupi,Maharashtra
109,2845,2026-05-28,2026-06-01,Delivered,Ghaziabad,Delhi
110,2671,2025-05-02,2025-05-07,Cancelled,Bokaro,Rajasthan
111,4313,2026-09-11,2026-09-15,Delivered,Gwalior,Telangana
112,2013,2025-05-26,2025-05-31,Delivered,Loni,Andhra Pradesh
113,3458,2025-07-15,2025-07-17,Shipped,Ranchi,Telangana
114,4971,2025-04-23,2025-04-26,Delivered,Kolhapur,Telangana
115,4721,2025-12-31,2026-01-04,Delivered,Katni,Tamil Nadu
116,2721,2025-02-07,2025-02-08,Processing,Mango,West Bengal
117,3484,2025-01-18,2025-01-21,Cancelled,Shivpuri,Telangana
118,2826,2025-05-05,2025-05-09,Delivered,Ghaziabad,Maharashtra
119,1747,2025-01-03,2025-01-10,Delivered,Indore,Telangana
120,3804,2025-05-10,2025-05-16,Cancelled,Vellore,Gujarat
121,3724,2025-09-13,2025-09-14,Delivered,Jamshedpur,Karnataka
122,3042,2025-06-23,2025-06-30,Delivered,Gudivada,Telangana
123,1569,2025-02-01,2025-02-06,Cancelled,Eluru,Rajasthan
124,3006,2025-12-31,2026-01-06,Delivered,Fatehpur,Gujarat
125,3907,2026-07-16,2026-07-17,Delivered,Tenali,West Bengal
126,3421,2025-03-08,2025-03-15,Delivered,Raichur,Kerala
127,38,2026-04-24,2026-04-26,Delivered,Thrissur,Kerala
128,4027,2024-12-21,2024-12-25,Delivered,Dharmavaram,Delhi
129,103,2025-01-17,2025-01-24,Cancelled,Barasat,West Bengal
130,2995,2025-11-04,2025-11-06,Delivered,Chennai,Karnataka
131,4289,2025-02-08,2025-02-15,Delivered,Ranchi,Gujarat
132,1677,2025-08-08,2025-08-14,Delivered,Bhimavaram,West Bengal
133,326,2024-10-25,2024-10-31,Processing,Gangtok,Telangana
134,2679,2025-03-22,2025-03-26,Cancelled,Rajpur Sonarpur,Andhra Pradesh
135,335,2025-07-05,2025-07-06,Delivered,Unnao,Kerala
136,1849,2025-12-31,2026-01-04,Cancelled,Guwahati,Telangana
137,2830,2025-12-30,2026-01-02,Delivered,Delhi,Karnataka
138,2374,2024-11-02,2024-11-09,Shipped,Udaipur,Tamil Nadu
139,3613,2026-03-22,2026-03-23,Delivered,Chinsurah,Karnataka
140,4213,2024-12-04,2024-12-10,Cancelled,Ulhasnagar,Rajasthan
141,2451,2025-02-08,2025-02-09,Shipped,Gandhinagar,Karnataka
142,1700,2026-03-27,2026-03-30,Delivered,Kumbakonam,Rajasthan
143,1308,2024-11-06,2024-11-07,Delivered,Raichur,Rajasthan
144,2427,2025-12-27,2025-12-30,Delivered,Delhi,Gujarat
145,1429,2026-04-05,2026-04-10,Delivered,Adoni,Telangana
146,4661,2026-01-13,2026-01-18,Delivered,Ambattur,Karnataka
147,1268,2024-09-18,2024-09-25,Shipped,Hapur,Andhra Pradesh
148,4269,2026-04-05,2026-04-06,Delivered,Bhavnagar,Gujarat
149,258,2026-04-18,2026-04-21,Delivered,Gwalior,Andhra Pradesh
150,2807,2025-07-14,2025-07-21,Delivered,Kirari Suleman Nagar,Telangana
151,143,2026-08-30,2026-09-01,Delivered,Anantapuram,Gujarat
152,3969,2025-06-02,2025-06-05,Delivered,Ramagundam,Delhi
153,3166,2025-08-26,2025-09-02,Delivered,Sambalpur,Tamil Nadu
154,911,2025-08-28,2025-09-04,Delivered,Kochi,Gujarat
155,2160,2026-01-08,2026-01-09,Delivered,Nagercoil,Gujarat
156,2545,2025-02-17,2025-02-20,Delivered,Jodhpur,Kerala
157,2274,2026-02-20,2026-02-24,Delivered,Panchkula,West Bengal
158,498,2025-08-16,2025-08-20,Processing,Haldia,Telangana
159,4326,2025-06-09,2025-06-10,Cancelled,Hapur,Rajasthan
160,1608,2025-02-02,2025-02-07,Delivered,Gurgaon,Tamil Nadu
161,3438,2024-11-08,2024-11-09,Delivered,Indore,Gujarat
162,3565,2026-05-19,2026-05-23,Cancelled,Begusarai,Rajasthan
163,3446,2024-11-24,2024-11-26,Delivered,Morena,Tamil Nadu
164,3232,2025-11-17,2025-11-19,Delivered,Vellore,West Bengal
165,886,2026-02-14,2026-02-15,Delivered,Allahabad,Gujarat
166,3055,2025-01-17,2025-01-24,Delivered,Sambalpur,Rajasthan
167,554,2024-11-10,2024-11-11,Shipped,Katni,Maharashtra
168,1820,2025-09-24,2025-09-28,Delivered,Nagpur,West Bengal
169,4908,2025-07-15,2025-07-22,Cancelled,Purnia,Rajasthan
170,1549,2025-02-23,2025-03-02,Delivered,Sambalpur,Kerala
171,3826,2025-01-01,2025-01-08,Delivered,Davanagere,Telangana
172,4773,2026-03-03,2026-03-10,Delivered,Amravati,Delhi
173,556,2025-11-10,2025-11-12,Cancelled,Bhimavaram,Andhra Pradesh
174,4977,2025-01-16,2025-01-22,Delivered,Durgapur,Tamil Nadu
175,966,2025-07-09,2025-07-13,Delivered,Anand,Rajasthan
176,562,2025-06-30,2025-07-04,Delivered,Muzaffarnagar,Karnataka
177,3703,2026-08-27,2026-08-28,Delivered,Gwalior,Gujarat
178,3848,2024-11-21,2024-11-23,Delivered,Saharanpur,Rajasthan
179,3826,2026-01-01,2026-01-05,Cancelled,Nellore,West Bengal
180,3853,2024-10-04,2024-10-07,Delivered,Bhopal,Rajasthan
181,2622,2026-04-20,2026-04-24,Cancelled,Malda,West Bengal
182,4781,2026-06-24,2026-07-01,Shipped,Sambalpur,Telangana
183,950,2025-12-04,2025-12-11,Delivered,Latur,Tamil Nadu
184,2417,2026-03-18,2026-03-24,Shipped,Dhule,West Bengal
185,1585,2025-01-07,2025-01-09,Cancelled,Junagadh,Rajasthan
186,4024,2025-06-12,2025-06-18,Delivered,Nadiad,Kerala
187,2161,2026-01-06,2026-01-07,Processing,Cuttack,West Bengal
188,3289,2025-09-24,2025-09-26,Cancelled,Kota,Maharashtra
189,107,2025-10-04,2025-10-09,Delivered,Mehsana,Rajasthan
190,622,2025-08-04,2025-08-08,Delivered,Jehanabad,Telangana
191,821,2024-11-12,2024-11-16,Delivered,Bhagalpur,Karnataka
192,2447,2026-09-02,2026-09-09,Delivered,Kalyan-Dombivli,Gujarat
193,4143,2024-11-30,2024-12-06,Cancelled,Panipat,Rajasthan
194,1573,2026-02-18,2026-02-22,Delivered,Munger,Karnataka
195,4080,2026-06-04,2026-06-10,Delivered,Ujjain,Delhi
196,3350,2026-03-15,2026-03-22,Delivered,Singrauli,West Bengal
197,2670,2025-05-03,2025-05-08,Processing,Chinsurah,Maharashtra
198,4183,2025-08-29,2025-09-02,Delivered,Arrah,Telangana
199,265,2024-11-06,2024-11-11,Delivered,Morbi,Gujarat
200,1474,2025-02-07,2025-02-14,Delivered,Satna,Gujarat
201,4493,2025-06-13,2025-06-20,Delivered,Kulti,Tamil Nadu
202,1441,2025-10-02,2025-10-09,Delivered,Katni,Telangana
203,555,2025-05-19,2025-05-23,Shipped,Srikakulam,Telangana
204,3255,2025-09-17,2025-09-21,Cancelled,Bhilwara,Delhi
205,4578,2025-11-02,2025-11-06,Shipped,Sasaram,Kerala
206,4662,2025-05-03,2025-05-09,Delivered,Kozhikode,Andhra Pradesh
207,2457,2025-01-23,2025-01-27,Cancelled,Gangtok,Gujarat
208,111,2025-04-29,2025-05-06,Shipped,Jamshedpur,Tamil Nadu
209,3234,2024-10-04,2024-10-07,Delivered,Vellore,West Bengal
210,4873,2026-01-16,2026-01-19,Delivered,Satna,Karnataka
211,454,2024-09-22,2024-09-24,Delivered,Adoni,Delhi
212,2381,2024-12-27,2024-12-29,Processing,Khammam,Kerala
213,3681,2025-07-12,2025-07-16,Shipped,Bhubaneswar,Karnataka
214,4241,2025-01-07,2025-01-11,Delivered,Bidar,Kerala
215,1787,2026-05-05,2026-05-09,Delivered,Sultan Pur Majra,Tamil Nadu
216,761,2026-07-30,2026-08-05,Cancelled,Kumbakonam,Rajasthan
217,531,2025-02-04,2025-02-06,Delivered,Imphal,Rajasthan
218,2178,2026-03-17,2026-03-18,Delivered,Srikakulam,Karnataka
219,2782,2025-08-26,2025-08-28,Delivered,Bardhaman,Andhra Pradesh
220,2512,2026-03-03,2026-03-06,Shipped,Durgapur,Karnataka
221,4269,2024-11-13,2024-11-15,Delivered,Ramgarh,Kerala
222,2965,2024-12-12,2024-12-16,Cancelled,Junagadh,West Bengal
223,498,2026-07-24,2026-07-25,Processing,Kolkata,Rajasthan
224,2609,2025-02-09,2025-02-14,Delivered,Thiruvananthapuram,Tamil Nadu
225,3589,2025-05-03,2025-05-06,Cancelled,Surendranagar Dudhrej,Andhra Pradesh
226,179,2025-11-19,2025-11-21,Delivered,Baranagar,Andhra Pradesh
227,1930,2026-08-26,2026-08-30,Delivered,Kumbakonam,Tamil Nadu
228,4835,2026-04-02,2026-04-07,Shipped,Durgapur,Maharashtra
229,715,2025-07-05,2025-07-10,Delivered,Saharsa,Tamil Nadu
230,1382,2025-05-02,2025-05-06,Shipped,Berhampore,Maharashtra
231,3126,2024-10-06,2024-10-07,Shipped,Berhampur,Tamil Nadu
232,3061,2026-02-04,2026-02-09,Processing,Tiruchirappalli,Maharashtra
233,3942,2025-05-03,2025-05-07,Delivered,Miryalaguda,Andhra Pradesh
234,4119,2026-02-28,2026-03-01,Cancelled,Latur,Maharashtra
235,2748,2025-02-14,2025-02-15,Delivered,Bhatpara,Telangana
236,3801,2026-03-10,2026-03-17,Delivered,Tezpur,Gujarat
237,565,2026-03-14,2026-03-17,Delivered,Ratlam,Rajasthan
238,133,2024-11-06,2024-11-09,Delivered,Morbi,West Bengal
239,2159,2025-07-25,2025-08-01,Delivered,Ahmedabad,Karnataka
240,3963,2025-07-22,2025-07-28,Delivered,Vellore,Delhi
241,1540,2026-01-20,2026-01-27,Delivered,Kolhapur,Telangana
242,3245,2026-07-09,2026-07-15,Delivered,Kollam,Tamil Nadu
243,1592,2024-09-21,2024-09-27,Delivered,Jabalpur,Rajasthan
244,84,2025-01-03,2025-01-07,Cancelled,Indore,Karnataka
245,4618,2026-06-18,2026-06-19,Cancelled,Kadapa,Andhra Pradesh
246,2292,2025-05-02,2025-05-05,Delivered,Cuttack,Rajasthan
247,2897,2025-07-16,2025-07-22,Delivered,Tinsukia,Rajasthan
248,715,2025-02-23,2025-02-28,Delivered,Rajpur Sonarpur,Karnataka
249,3224,2025-08-12,2025-08-14,Delivered,Gangtok,Gujarat
250,1575,2025-07-10,2025-07-16,Shipped,Danapur,Tamil Nadu
251,3256,2025-01-25,2025-01-26,Delivered,Panchkula,Gujarat
252,4945,2026-04-03,2026-04-04,Delivered,Tiruppur,Karnataka
253,2520,2025-07-11,2025-07-15,Processing,Thanjavur,Andhra Pradesh
254,2928,2026-01-28,2026-01-31,Delivered,Medininagar,West Bengal
255,888,2026-08-31,2026-09-02,Delivered,Raebareli,Delhi
256,2931,2026-07-30,2026-08-02,Delivered,Nagpur,West Bengal
257,176,2025-11-28,2025-11-29,Processing,Gurgaon,Karnataka
258,4358,2025-04-23,2025-04-26,Delivered,Raipur,Gujarat
259,1221,2026-07-23,2026-07-26,Delivered,Ulhasnagar,Rajasthan
260,1621,2025-04-09,2025-04-16,Delivered,Tiruchirappalli,Maharashtra
261,2577,2026-08-24,2026-08-28,Delivered,Dindigul,Maharashtra
262,1698,2024-10-26,2024-10-28,Delivered,Solapur,Andhra Pradesh
263,1438,2024-12-11,2024-12-17,Delivered,Jalna,Rajasthan
264,617,2025-07-19,2025-07-26,Cancelled,Fatehpur,Maharashtra
265,4355,2025-06-12,2025-06-13,Cancelled,Panvel,West Bengal
266,2330,2026-07-31,2026-08-04,Delivered,Thrissur,Karnataka
267,1930,2025-10-29,2025-11-04,Delivered,Baranagar,Karnataka
268,4658,2025-04-04,2025-04-11,Cancelled,Ghaziabad,Karnataka
269,3423,2025-04-24,2025-04-29,Processing,Darbhanga,Andhra Pradesh
270,1892,2025-03-24,2025-03-30,Cancelled,Karnal,West Bengal
271,782,2025-07-30,2025-08-06,Cancelled,Danapur,Delhi
272,2324,2025-06-09,2025-06-10,Delivered,Kakinada,Andhra Pradesh
273,3288,2026-06-27,2026-07-04,Delivered,Jhansi,Rajasthan
274,4488,2025-10-28,2025-11-01,Delivered,Panipat,Tamil Nadu
275,3523,2025-10-23,2025-10-29,Delivered,Morena,Rajasthan
276,164,2025-05-17,2025-05-21,Delivered,Imphal,Tamil Nadu
277,3664,2025-06-18,2025-06-24,Cancelled,Thiruvananthapuram,Gujarat
278,4266,2024-10-20,2024-10-21,Delivered,Kota,Maharashtra
279,3782,2026-09-04,2026-09-10,Cancelled,Hazaribagh,Delhi
280,2688,2026-09-11,2026-09-16,Delivered,Eluru,Gujarat
281,2127,2025-04-24,2025-05-01,Delivered,Bhubaneswar,Telangana
282,639,2025-10-01,2025-10-02,Processing,Jamalpur,West Bengal
283,1225,2025-04-09,2025-04-16,Delivered,Mysore,Andhra Pradesh
284,3911,2026-09-08,2026-09-12,Processing,Bhatpara,Karnataka
285,4431,2026-08-09,2026-08-11,Delivered,Kota,Rajasthan
286,4091,2025-07-29,2025-08-05,Delivered,Karawal Nagar,Tamil Nadu
287,2135,2026-03-17,2026-03-18,Delivered,Junagadh,Rajasthan
288,123,2024-11-29,2024-12-03,Delivered,Ambarnath,Tamil Nadu
289,1395,2025-10-23,2025-10-26,Delivered,Khandwa,Delhi
290,1309,2026-05-31,2026-06-04,Delivered,Gorakhpur,Andhra Pradesh
291,1942,2024-11-23,2024-11-24,Processing,Kharagpur,Karnataka
292,702,2025-08-24,2025-08-31,Cancelled,Adoni,Rajasthan
293,4696,2026-04-12,2026-04-18,Delivered,Davanagere,Delhi
294,1135,2025-01-20,2025-01-22,Delivered,Amritsar,Telangana
295,3681,2025-09-23,2025-09-24,Delivered,Pondicherry,Andhra Pradesh
296,240,2026-07-21,2026-07-24,Processing,Thoothukudi,Rajasthan
297,856,2025-11-08,2025-11-10,Processing,Dindigul,Gujarat
298,3195,2025-02-12,2025-02-19,Delivered,Raurkela Industrial Township,Gujarat
299,4805,2026-01-30,2026-02-03,Cancelled,Giridih,Gujarat
300,1354,2025-06-15,2025-06-20,Delivered,Khammam,Telangana
301,680,2025-08-25,2025-08-30,Cancelled,Bongaigaon,Delhi
302,4719,2025-07-02,2025-07-05,Cancelled,Bharatpur,Telangana
303,1485,2025-03-22,2025-03-27,Cancelled,Adoni,Tamil Nadu
304,1013,2026-02-09,2026-02-13,Shipped,Ichalkaranji,West Bengal
305,4471,2025-01-19,2025-01-24,Delivered,Silchar,Tamil Nadu
306,3009,2026-02-12,2026-02-18,Delivered,Bareilly,Andhra Pradesh
307,2126,2025-09-16,2025-09-21,Delivered,Thanjavur,Karnataka
308,3175,2025-11-26,2025-11-28,Delivered,Jabalpur,West Bengal
309,1506,2026-03-01,2026-03-08,Delivered,Panvel,Andhra Pradesh
310,536,2026-06-12,2026-06-17,Shipped,Khandwa,Tamil Nadu
311,458,2025-08-16,2025-08-17,Delivered,Mahbubnagar,Andhra Pradesh
312,4136,2026-07-24,2026-07-28,Delivered,Kolkata,Maharashtra
313,4070,2026-06-12,2026-06-16,Delivered,Chennai,Karnataka
314,261,2025-01-13,2025-01-20,Delivered,Kurnool,Gujarat
315,2574,2025-01-18,2025-01-21,Processing,Mangalore,Gujarat
316,136,2025-09-25,2025-09-27,Delivered,Chinsurah,Maharashtra
317,4232,2025-12-22,2025-12-24,Delivered,Rohtak,Maharashtra
318,1939,2025-05-21,2025-05-22,Delivered,Uluberia,Kerala
319,635,2026-06-09,2026-06-13,Delivered,Dehradun,Telangana
320,861,2025-05-24,2025-05-29,Delivered,Kadapa,Telangana
321,103,2025-07-02,2025-07-07,Delivered,Purnia,West Bengal
322,4335,2024-12-09,2024-12-15,Shipped,Kolkata,Delhi
323,3672,2026-06-04,2026-06-09,Delivered,Jhansi,Karnataka
324,2236,2026-08-29,2026-09-05,Delivered,Jorhat,Andhra Pradesh
325,2578,2026-08-30,2026-09-01,Delivered,Cuttack,West Bengal
326,1277,2026-08-07,2026-08-09,Shipped,Sirsa,Telangana
327,4935,2026-05-05,2026-05-07,Delivered,Miryalaguda,Telangana
328,4100,2026-07-21,2026-07-23,Cancelled,Karawal Nagar,Maharashtra
329,3748,2026-05-27,2026-06-01,Delivered,Nandyal,Gujarat
330,1286,2025-09-07,2025-09-11,Shipped,Jamshedpur,Kerala
331,3448,2026-08-01,2026-08-08,Shipped,Kolhapur,Maharashtra
332,646,2025-05-23,2025-05-24,Shipped,Ongole,Tamil Nadu
333,4966,2026-02-06,2026-02-10,Shipped,Davanagere,Delhi
334,2656,2024-09-18,2024-09-23,Delivered,Bangalore,Andhra Pradesh
335,219,2025-08-27,2025-08-30,Shipped,Ulhasnagar,Maharashtra
336,4954,2024-11-13,2024-11-15,Delivered,Ajmer,Telangana
337,3649,2026-03-28,2026-03-29,Delivered,Ajmer,Rajasthan
338,3412,2025-02-15,2025-02-20,Delivered,Ramagundam,Rajasthan
339,2419,2025-10-02,2025-10-04,Delivered,Faridabad,Tamil Nadu
340,333,2025-06-15,2025-06-20,Delivered,Amroha,Andhra Pradesh
341,2162,2025-09-17,2025-09-23,Processing,Tadipatri,Gujarat
342,2790,2026-06-27,2026-06-29,Processing,Jamshedpur,Gujarat
343,2253,2026-02-26,2026-03-02,Processing,Moradabad,Delhi
344,1357,2025-07-07,2025-07-14,Cancelled,Phagwara,Delhi
345,3193,2025-08-21,2025-08-24,Delivered,Silchar,Karnataka
346,2358,2025-07-27,2025-07-29,Delivered,Vellore,Maharashtra
347,2268,2025-05-05,2025-05-07,Delivered,Medininagar,Rajasthan
348,2797,2026-01-04,2026-01-06,Cancelled,Loni,Karnataka
349,930,2026-07-13,2026-07-15,Processing,Jammu,Delhi
350,357,2025-04-29,2025-05-03,Delivered,Pune,Kerala
351,3842,2024-10-01,2024-10-02,Delivered,Saharanpur,Gujarat
352,666,2025-01-21,2025-01-23,Processing,Durgapur,Kerala
353,328,2026-02-23,2026-02-25,Processing,Bharatpur,Delhi
354,150,2025-02-17,2025-02-21,Processing,Kollam,Gujarat
355,2854,2026-03-11,2026-03-12,Delivered,Warangal,Delhi
356,2737,2026-06-30,2026-07-07,Shipped,Adoni,Telangana
357,416,2024-11-15,2024-11-20,Cancelled,Latur,Gujarat
358,85,2026-01-15,2026-01-22,Processing,Berhampore,Tamil Nadu
359,1071,2024-10-04,2024-10-05,Shipped,Anantapuram,Karnataka
360,1502,2025-09-24,2025-09-30,Delivered,Bidar,Andhra Pradesh
361,736,2024-10-26,2024-10-28,Cancelled,Thanjavur,Tamil Nadu
362,3907,2025-10-05,2025-10-06,Delivered,Gwalior,Delhi
363,4227,2026-08-24,2026-08-31,Delivered,Agra,Telangana
364,823,2026-04-19,2026-04-22,Delivered,Varanasi,Karnataka
365,2079,2024-11-10,2024-11-16,Shipped,Saharanpur,Karnataka
366,3572,2025-08-09,2025-08-16,Processing,Ludhiana,Telangana
367,1722,2025-10-14,2025-10-17,Cancelled,Guntur,Gujarat
368,1281,2025-07-26,2025-08-01,Delivered,Karaikudi,Rajasthan
369,3598,2025-12-06,2025-12-07,Shipped,Bhilwara,Gujarat
370,2626,2026-07-06,2026-07-13,Delivered,Naihati,West Bengal
371,2002,2025-12-26,2026-01-01,Delivered,Miryalaguda,Gujarat
372,3878,2026-09-01,2026-09-08,Delivered,Muzaffarnagar,Tamil Nadu
373,1432,2025-05-23,2025-05-28,Processing,Guna,Karnataka
374,1776,2025-10-11,2025-10-18,Cancelled,Secunderabad,West Bengal
375,1329,2025-10-05,2025-10-09,Delivered,Ghaziabad,Maharashtra
376,4678,2025-02-10,2025-02-17,Delivered,Anantapuram,Kerala
377,2867,2025-12-05,2025-12-07,Delivered,Chittoor,Maharashtra
378,4185,2025-12-04,2025-12-10,Cancelled,Nizamabad,West Bengal
